availability_30,availability_60,availability_90,availability_365
3,3,3,6
0,0,0,78
25,55,85,360
0,2,16,75
6,13,13,169
0,0,0,66
2,2,2,54
29,59,89,334
3,8,15,83
29,59,89,179
0,0,0,0
20,50,80,355
8,10,21,82
0,0,0,0
0,0,0,0
15,20,23,23
8,20,40,101
1,11,41,41
12,21,25,71
5,13,29,270
2,9,19,129
30,60,90,179
19,49,74,74
4,8,16,227
30,60,90,365
0,0,4,170
23,53,83,358
0,0,0,0
24,54,84,359
6,34,59,321
29,59,86,361
0,0,0,253
15,39,62,233
0,0,0,0
30,60,90,179
0,0,0,0
27,57,87,362
2,12,28,262
0,0,0,0
19,41,71,161
0,0,6,183
27,57,87,360
21,51,77,77
0,0,0,0
0,0,0,253
6,11,18,228
5,35,65,66
17,27,33,277
2,19,49,324
12,25,46,291
0,27,44,219
23,53,83,83
9,39,60,126
0,9,39,314
29,59,87,362
27,57,87,362
0,0,0,0
0,0,0,0
27,57,87,362
5,13,27,274
1,5,32,300
23,53,83,84
8,31,61,336
27,57,87,362
19,32,51,239
0,0,0,0
5,19,34,298
12,42,72,338
0,0,0,97
4,4,19,160
6,27,50,312
0,0,0,0
19,49,79,354
0,0,0,0
2,11,26,285
0,16,46,61
19,49,79,79
0,0,4,252
23,53,83,84
0,0,0,0
29,59,89,364
26,56,86,177
0,0,0,0
28,58,88,363
0,0,0,0
11,25,32,32
29,59,89,355
9,12,12,12
8,30,53,311
13,29,59,325
29,59,89,364
19,27,43,282
25,55,85,352
0,0,0,0
7,30,55,329
0,0,0,0
0,25,55,330
8,17,17,17
7,29,52,134
17,43,65,260
30,60,90,365
23,53,83,84
0,0,0,0
8,20,32,298
5,20,47,246
7,21,51,231
0,0,4,267
12,28,58,279
25,55,85,360
2,2,8,283
0,0,8,31
3,9,21,251
25,49,79,79
30,60,90,179
30,60,90,365
29,59,89,364
0,10,40,315
0,0,0,0
12,35,65,104
28,58,88,363
28,58,88,363
0,0,20,260
0,0,0,0
0,0,0,0
0,0,0,0
29,59,76,344
0,0,0,0
5,24,54,261
0,0,26,44
1,4,7,189
0,0,0,0
9,39,69,328
30,60,90,117
5,11,27,198
0,0,0,0
17,43,64,149
30,60,90,365
0,0,0,0
30,56,86,361
0,0,0,0
26,54,78,325
0,0,0,0
11,35,65,65
0,0,0,0
22,50,78,350
2,3,6,249
0,0,0,0
29,59,89,179
8,38,68,343
26,36,53,301
5,11,23,294
29,59,89,364
0,0,0,0
0,0,0,64
7,23,39,203
23,53,74,337
8,17,29,30
22,43,70,303
24,47,77,352
2,19,27,216
0,0,0,0
0,0,0,0
13,14,32,32
0,0,0,0
0,0,4,269
28,58,88,89
30,60,90,365
